['Quincey Morris'],89
['Arthur Holwood'],25
['Prof. Van Helsing'],108
['Mina Murray'],99
['Jonathan Harker'],56
['Count Dracula'],51
['Lucy Westenra'],8
['Dr. Seward'],18
"['Quincey Morris', 'Arthur Holwood']",19
"['Quincey Morris', 'Prof. Van Helsing']",12
"['Count Dracula', 'Quincey Morris']",8
"['Quincey Morris', 'Dr. Seward']",12
"['Mina Murray', 'Prof. Van Helsing']",6
"['Dr. Seward', 'Prof. Van Helsing']",12
"['Mina Murray', 'Jonathan Harker']",9
"['Dr. Seward', 'Quincey Morris', 'Prof. Van Helsing']",12
